,Cidade,UF,CÃ³digo,Latitude,Longitude,Altitude,geometry,Dis_1,Viz_1,Dis_2,Viz_2,Dis_3,Viz_3,Dis_4,Viz_4,Dis_5,Viz_5,Dis_6,Viz_6,Dis_7,Viz_7,Dis_8,Viz_8,Dis_9,Viz_9,Dis_10,Viz_10
121,SAO RAIMUNDO NONATO,PI,A345,-9.03305554,-42.70055555,402,POINT (-42.70055555 -9.03305554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
122,VACARIA,RS,A880,-28.51361111,-50.88277777,986,POINT (-50.88277777 -28.51361111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
123,PORTO ALEGRE,RS,A801,-30.05,-51.16666666,46.97,POINT (-51.16666666 -30.05),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
124,RIO VERDE,GO,A025,-17.78583333,-50.98138888,782,POINT (-50.98138888 -17.78583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
125,MARABA,PA,A240,-5.16722221,-49.37916666,116,POINT (-49.37916666 -5.16722221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
126,BELO HORIZONTE - CERCADINHO,MG,F501,-19.97999999,-43.95861111,1214,POINT (-43.95861111 -19.97999999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
127,CACAPAVA DO SUL,RS,A812,-30.54777777,-53.46749999,420,POINT (-53.46749999 -30.54777777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
128,SAO FELIX  DO ARAGUAIA,MT,A921,-11.61888888,-50.72777777,218,POINT (-50.72777777 -11.61888888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
129,MINA DO PALITO,PA,A246,-6.31972221,-55.78722221,261,POINT (-55.78722221 -6.31972221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
130,CANELA,RS,A879,-29.36888888,-50.82749999,830,POINT (-50.82749999 -29.36888888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
131,JACOBINA,BA,A440,-11.205,-40.465,453,POINT (-40.465 -11.205),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
132,ITABERABA,BA,A408,-12.51666666,-40.3,249.89,POINT (-40.3 -12.51666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
133,MACAPA,AP,A249,.03527777,-51.0886111,27,POINT (-51.0886111 0.03527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
134,SONORA,MS,A761,-17.89638888,-54.45361111,486,POINT (-54.45361111 -17.89638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
135,CAMARATUBA,PB,A352,-6.56083333,-35.13472221,136,POINT (-35.13472221 -6.56083333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
136,DORES DO INDAIA,MG,A536,-19.48166666,-45.59388888,722,POINT (-45.59388888 -19.48166666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
137,VITORIA DA CONQUISTA,BA,A414,-14.8861111,-40.80138888,874.81,POINT (-40.80138888 -14.8861111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
138,PIATA,BA,A430,-13.15583333,-41.77416666,1290,POINT (-41.77416666 -13.15583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
139,EPITACIOLANDIA,AC,A140,-11.0236111,-68.73499999,217,POINT (-68.73499999 -11.0236111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
140,ITUIUTABA,MG,A512,-18.95277777,-49.52499999,560,POINT (-49.52499999 -18.95277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
141,GOIANIA,GO,A002,-16.64277777,-49.21999999,770,POINT (-49.21999999 -16.64277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
142,ITAPETINGA,BA,A446,-15.24472221,-40.22944443,269,POINT (-40.22944443 -15.24472221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
143,DIAMANTINA,MG,A537,-18.2311111,-43.64805555,1356,POINT (-43.64805555 -18.2311111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
144,APUI,AM,A113,-7.21527777,-59.8886111,160,POINT (-59.8886111 -7.21527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
145,CONCEICAO DAS ALAGOAS,MG,A520,-19.98583333,-48.15138888,568,POINT (-48.15138888 -19.98583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
146,ARAGUAINA,TO,A021,-7.10416666,-48.20111111,226,POINT (-48.20111111 -7.10416666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
147,JUIZ DE FORA,MG,A518,-21.76999999,-43.36416666,950,POINT (-43.36416666 -21.76999999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
148,GUARAMIRANGA,CE,A314,-4.26111111,-38.19749999,38.2,POINT (-38.19749999 -4.26111111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
149,MOCAMBINHO,MG,A539,-15.08583333,-44.01611111,460,POINT (-44.01611111 -15.08583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
150,SANTO AUGUSTO,RS,A805,-27.85416666,-53.7911111,490,POINT (-53.7911111 -27.85416666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
151,BURITIRAMA,BA,A432,-10.72305554,-43.65111111,506.5,POINT (-43.65111111 -10.72305554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
152,FLORIANOPOLIS,SC,A806,-27.6025,-48.61999999,1.8,POINT (-48.61999999 -27.6025),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
153,S. G. DA CACHOEIRA,AM,A134,-.12499999,-67.06111111,90,POINT (-67.06111111 -0.12499999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
154,ITAOBIM,MG,A550,-16.57555554,-41.48527777,266,POINT (-41.48527777 -16.57555554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
155,BARRA BONITA,SP,A741,-22.37083332,-48.55722222,544,POINT (-48.55722222 -22.37083332),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
156,IBITINGA,SP,A737,-21.85555555,-48.66666666,492,POINT (-48.66666666 -21.85555555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
157,BARRA DO TURVO,SP,A746,-24.96305555,-48.41638888,667,POINT (-48.41638888 -24.96305555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
158,MARAU,BA,A438,-13.90722222,-38.97222221,10,POINT (-38.97222221 -13.90722222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
159,UAUA,BA,A435,-9.8336111,-39.49555555,453,POINT (-39.49555555 -9.8336111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
160,NOVA MARINGA,MT,A928,-13.06555555,-57.15611111,353,POINT (-57.15611111 -13.06555555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
161,URUCARA,AM,A124,-2.89638888,-57.75833333,17,POINT (-57.75833333 -2.89638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
162,ACARAU,CE,A360,-3.12083332,-40.08694444,76,POINT (-40.08694444 -3.12083332),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
163,AGUA BOA,MT,A908,-14.01611111,-52.21222222,432,POINT (-52.21222222 -14.01611111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
164,BELA VISTA,MS,A757,-22.10083333,-56.53999999,208,POINT (-56.53999999 -22.10083333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
165,RIO URUBU,AM,A125,-2.7211111,-59.94333333,59,POINT (-59.94333333 -2.7211111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
166,TEOFILO OTONI,MG,A527,-17.9,-41.51666666,475,POINT (-41.51666666 -17.9),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
167,CAIAPONIA,GO,A023,-16.96666666,-51.81749999,737,POINT (-51.81749999 -16.96666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
168,IMPERATRIZ,MA,A225,-5.55555555,-47.45972222,126,POINT (-47.45972222 -5.55555555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
169,ESPERANTINA,PI,A338,-3.90083333,-42.23694444,65,POINT (-42.23694444 -3.90083333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
170,IVAI,PR,A818,-25.01333333,-50.8711111,808,POINT (-50.8711111 -25.01333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
171,RESENDE,RJ,A609,-22.45,-44.45,439.89,POINT (-44.45 -22.45),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
172,LENCOIS,BA,A425,-12.55722222,-41.38888888,438.74,POINT (-41.38888888 -12.55722222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
173,BOM JESUS DO PIAUI,PI,A326,-9.08333333,-44.31666666,415,POINT (-44.31666666 -9.08333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
174,MONTE VERDE,MG,A509,-22.86138888,-46.04333333,1500,POINT (-46.04333333 -22.86138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
175,ITAPEVA,SP,A714,-23.98138888,-48.88527777,745,POINT (-48.88527777 -23.98138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
176,MURIAE,MG,A517,-21.10472222,-42.37583332,297,POINT (-42.37583332 -21.10472222),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
177,AGUAS EMENDADAS,DF,A045,-15.59638888,-47.62583332,1200,POINT (-47.62583332 -15.59638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
178,JAPIRA,PR,A871,-23.77305554,-50.18055554,694,POINT (-50.18055554 -23.77305554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
179,FLORIANO,PI,A311,-6.76666666,-43.01666666,123.27,POINT (-43.01666666 -6.76666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
180,CANTO DO BURITI,PI,A365,-8.11777777,-42.00888888,308,POINT (-42.00888888 -8.11777777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
181,ARIQUEMES,RO,A940,-9.94888888,-62.96194444,140,POINT (-62.96194444 -9.94888888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
182,PRESIDENTE PRUDENTE,SP,A707,-22.11999999,-51.4,435.55,POINT (-51.4 -22.11999999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
183,JOAQUIM TAVORA,PR,A821,-23.50527777,-49.94638888,522,POINT (-49.94638888 -23.50527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
184,MARAMBAIA,RJ,A602,-23.05,-43.6,9.7,POINT (-43.6 -23.05),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
185,ILHEUS,BA,A410,-14.65944444,-39.1811111,78,POINT (-39.1811111 -14.65944444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
186,DELFINO,BA,A443,-10.455,-41.20722222,637,POINT (-41.20722222 -10.455),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
187,ALTO PARNAIBA,MA,A223,-9.10805555,-45.93194443,281,POINT (-45.93194443 -9.10805555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
188,ARAGARCAS,GO,A013,-15.90583333,-52.24388888,347,POINT (-52.24388888 -15.90583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
189,PAULISTANA,PI,A330,-8.07999999,-41.07999999,374.22,POINT (-41.07999999 -8.07999999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
190,NOVA FATIMA,PR,A842,-23.40694444,-50.57777777,668,POINT (-50.57777777 -23.40694444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
191,FRANCA,SP,A708,-20.57999999,-47.37999999,1026,POINT (-47.37999999 -20.57999999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
192,RIO PARDO,RS,A813,-29.87333332,-52.38249999,111,POINT (-52.38249999 -29.87333332),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
193,S.J. DO RIO CLARO,MT,A903,-13.45,-56.66666666,350,POINT (-56.66666666 -13.45),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
194,ARACAJU,SE,A409,-10.95027777,-37.05,4.72,POINT (-37.05 -10.95027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
195,UNAI,MG,A542,-16.55388888,-46.88194443,631,POINT (-46.88194443 -16.55388888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
196,PONTA PORA,MS,A703,-22.5525,-55.71638888,675,POINT (-55.71638888 -22.5525),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
197,AQUIDAUANA,MS,A719,-20.47555554,-55.78388888,155,POINT (-55.78388888 -20.47555554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
198,BELEM,PA,A201,-1.41027777,-48.43833333,24,POINT (-48.43833333 -1.41027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
199,MACEIO,AL,A303,-9.55111111,-35.77027777,80,POINT (-35.77027777 -9.55111111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
200,CRUZ DAS ALMAS,BA,A406,-12.65,-39.15,225.87,POINT (-39.15 -12.65),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
201,SOLEDADE,RS,A837,-28.85361111,-52.55833333,667,POINT (-52.55833333 -28.85361111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
202,ITAPIRA,SP,A739,-22.415,-46.80527777,633,POINT (-46.80527777 -22.415),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
203,PALMAS,TO,A009,-10.18333333,-48.3,280,POINT (-48.3 -10.18333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
204,ITIQUIRA,MT,A933,-17.29722221,-54.83722221,585,POINT (-54.83722221 -17.29722221),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
205,CARATINGA,MG,A554,-19.73583333,-42.15361111,615,POINT (-42.15361111 -19.73583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
206,IPORA,GO,A028,-16.42305554,-51.14805555,625,POINT (-51.14805555 -16.42305554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
207,SAO JOAQUIM,SC,A815,-28.27555554,-49.93444444,1410,POINT (-49.93444444 -28.27555554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
208,CAMPOS DO JORDAO,SP,A706,-22.75027777,-45.60388888,1642,POINT (-45.60388888 -22.75027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
209,CANGUCU,RS,A811,-31.40583333,-52.70111111,462,POINT (-52.70111111 -31.40583333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
210,PORTO VELHO,RO,A925,-8.76388888,-63.47499999,98,POINT (-63.47499999 -8.76388888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
211,SANTA RITA DE CASSIA,BA,A415,-11.01999999,-44.52499999,450,POINT (-44.52499999 -11.01999999),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
212,CAXIAS,MA,A237,-4.82138888,-43.3436111,76,POINT (-43.3436111 -4.82138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
213,DIAMANTE DO NORTE,PR,A849,-22.63388888,-52.85888888,362,POINT (-52.85888888 -22.63388888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
214,TOME ACU,PA,A213,-2.6,-48.36666666,38,POINT (-48.36666666 -2.6),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
215,MONTE ALEGRE,PA,A239,-2,-54.07583332,96,POINT (-54.07583332 -2),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
216,MAUES,AM,A122,-3.39888888,-57.6736111,35,POINT (-57.6736111 -3.39888888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
217,CUIABA,MT,A901,-15.55916666,-56.72944443,240,POINT (-56.72944443 -15.55916666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
218,TEUTONIA,RS,A882,-29.45027777,-51.82416666,81,POINT (-51.82416666 -29.45027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
219,CAMPO BOM,RS,A884,-29.67444443,-51.06416666,24,POINT (-51.06416666 -29.67444443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
220,MORRETES,PR,A873,-25.51277777,-48.80861111,59,POINT (-48.80861111 -25.51277777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
221,SAO ROMAO,MG,A547,-16.3625,-45.12388888,460,POINT (-45.12388888 -16.3625),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
222,SAO GABRIEL,RS,A832,-30.34138888,-54.31083333,126,POINT (-54.31083333 -30.34138888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
223,ESTREITO,MA,A224,-6.65333333,-47.41833332,180,POINT (-47.41833332 -6.65333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
224,MARIA DA FE,MG,A531,-22.31444444,-45.37277777,1276.33,POINT (-45.37277777 -22.31444444),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
225,OEIRAS,PI,A354,-6.97416666,-42.14694444,156,POINT (-42.14694444 -6.97416666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
226,ARAXA,MG,A505,-19.60555555,-46.94944444,1020,POINT (-46.94944444 -19.60555555),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
227,PORTO ESTRELA,MT,A935,-15.54638888,-57.38166666,145,POINT (-57.38166666 -15.54638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
228,CARACOL,PI,A337,-9.2861111,-43.32444443,523,POINT (-43.32444443 -9.2861111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
229,SAO LUIZ GONZAGA,RS,A852,-28.41694443,-54.96222222,245.11,POINT (-54.96222222 -28.41694443),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
230,CURITIBA,PR,A807,-25.43333333,-49.26666666,923.5,POINT (-49.26666666 -25.43333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
231,BARBALHA,CE,A315,-7.31805554,-39.30166666,409,POINT (-39.30166666 -7.31805554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
232,NOVA VENECIA,ES,A623,-18.69527777,-40.4075,154,POINT (-40.4075 -18.69527777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
233,PARNAIBA,PI,A308,-3.08638888,-41.78333333,79.5,POINT (-41.78333333 -3.08638888),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
234,MACAE,RJ,A608,-22.38333333,-41.81666667,32,POINT (-41.81666667 -22.38333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
235,QUIXERAMOBIM,CE,A325,-5.17305554,-39.28722221,232,POINT (-39.28722221 -5.17305554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
236,JUARA,MT,A914,-11.28027777,-57.52666666,260,POINT (-57.52666666 -11.28027777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
237,IGUAPE,SP,A712,-24.71666666,-47.55,2.66,POINT (-47.55 -24.71666666),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
238,BOM JARDIM DA SERRA - MORRO DA IGREJA,SC,A845,-28.13333333,-49.48333333,1810,POINT (-49.48333333 -28.13333333),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
239,BARREIRAS,BA,A402,-12.15,-45.01666666,470.37,POINT (-45.01666666 -12.15),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
240,ECOLOGIA AGRICOLA,RJ,A601,-22.8,-43.68333333,33,POINT (-43.68333333 -22.8),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
241,NOVA FRIBURGO,RJ,A624,-22.33305554,-42.67722221,1046,POINT (-42.67722221 -22.33305554),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
242,SANTANA DO ARAGUAIA,PA,A233,-9.3386111,-50.35027777,168,POINT (-50.35027777 -9.3386111),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
243,SANTA CRUZ,RN,A367,-6.22777777,-36.02638888,237,POINT (-36.02638888 -6.22777777),,A872,,A214,,A204,,A112,,A035,,A215,,A529,,A535,,A803,,A126
